Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Weather Type
14,73,9.5,82,1010.82,2,3.5,1
39,96,8.5,71,1011.43,7,10,3
30,64,7,16,1018.72,5,5.5,2
38,83,1.5,82,1026.25,7,1,2
27,74,17,66,990.67,1,2.5,1
32,55,3.5,26,1010.03,2,5,3
-2,97,8,86,990.87,1,4,4
3,85,6,96,984.46,1,3.5,4
3,83,6,66,999.44,0,1,4
28,74,8.5,107,1012.13,8,7.5,2
35,45,6,86,879.88,2,1,3
38,43,2,16,1029.16,11,7.5,2
12,59,10.5,25,1016.08,3,5.5,3
-10,87,15,67,986.19,0,1.5,4
24,21,3.5,8,1018.88,8,5.5,2
10,50,6.5,46,1000.44,2,8.5,3
30,27,7,13,1016.38,5,7.5,2
33,51,0.5,27,1009.18,3,5.5,3
43,46,0.5,15,1025.8,9,6,2
13,102,12,72,1012.25,4,8,2
-10,67,8.5,75,991.53,1,3,4
-7,88,12.5,98,980.31,1,3,4
33,36,7.5,18,1014.29,8,9.5,2
26,73,13.5,29,1012.02,1,9,3
38,83,7,101,1017.94,4,8.5,3
4,79,1,85,982.53,1,4.5,4
17,72,7.5,62,1010.16,2,3,1
40,57,4,12,1020.73,11,9.5,2
24,61,6.5,3,1018.15,7,5.5,2
30,70,16,54,1007.75,0,3,1
28,85,7,97,991.07,1,2,1
2,61,16.5,63,995.74,0,1,4
4,95,2.5,56,984.63,1,4.5,4
15,97,23,91,1009.36,13,2.5,1
29,69,3,15,1012.09,10,5.5,2
35,21,10,6,1026.81,5,7.5,2
11,90,25.5,76,996.17,0,1,1
2,105,19,109,991.68,7,3.5,4
-9,49,1.5,58,1132.2,8,16.5,4
27,64,11.5,37,1017.27,3,8,3
32,37,0.5,9,1013.99,11,8.5,2
36,22,1,0,1028.63,10,5.5,2
28,54,15,39,1018.86,3,8.5,3
42,64,2,18,1028.55,8,8,2
21,43,10,11,1019.41,11,6,2
22,50,0,18,1016.5,5,8,2
33,66,9,18,1014.34,3,6,3
26,25,2.5,14,1010.34,8,5,2
26,91,9.5,82,1019.42,3,4,1
-2,98,18.5,86,981.26,0,3.5,4
17,90,11,98,1017.49,3,4,1
25,55,8.5,37,1014.49,4,7.5,3
-4,96,20,88,990.72,1,4.5,4
-1,87,14,78,984.11,0,4,4
-5,94,5.5,55,991.65,0,3,4
22,95,13,90,997.97,3,2.5,1
41,85,9,101,1017.89,3,7.5,3
33,41,0,4,1018.56,7,9.5,2
31,70,0.5,69,1074.07,3,12.5,2
16,84,18.5,54,996.12,0,3,1
10,64,14,18,1011.96,1,8.5,3
29,63,6,68,992.45,0,3,1
15,55,1.5,32,1009.01,2,5.5,3
3,75,46.5,87,996.85,5,4.5,4
24,52,9,29,1007.84,1,8,3
25,85,9,67,995.4,1,2,1
25,89,1.5,87,1017.16,11,6.5,2
24,47,8,17,1025.22,5,6,2
2,97,2,89,993.14,0,3,4
21,54,3,17,1026.15,7,8,2
2,81,13.5,57,983.36,1,4,4
21,75,3.5,41,1017.74,2,8,3
11,52,6,97,1063.39,7,12.5,4
31,62,6.5,84,1013.61,0,4.5,1
33,31,6.5,18,1022.53,7,8.5,2
34,47,5,4,1027.53,9,10,2
21,66,13.5,29,1018.98,3,8.5,3
28,68,18,90,992.83,3,5,1
33,62,10,83,1009.48,1,3.5,1
25,96,6,90,1006.67,0,4.5,1
27,73,9.5,47,1017.82,1,7,3
49,75,11.5,82,1029.09,10,7,2
-5,73,12,63,983.83,1,4.5,4
31,62,5.5,99,1019.92,0,4.5,1
2,91,6.5,92,999.46,0,2.5,4
32,35,2.5,63,1160.48,2,0,2
-7,78,10,96,999.99,7,1,4
27,43,1,8,1022.48,9,9,2
12,56,9.5,19,1014.4,4,6.5,3
-7,93,9,60,995.63,1,4,4
15,81,28.5,71,1008,4,6,3
30,64,6,67,1009.12,3,4,1
19,93,14.5,57,1018.44,0,4,1
14,44,9,11,853.01,14,3.5,1
32,38,11,15,824.71,9,12.5,4
17,88,18,83,1026.94,0,5.5,2
23,88,11.5,65,1000.74,1,5,1
28,35,9.5,0,1023.62,9,10,2
-4,87,5,54,981.02,1,4.5,4
31,72,17,96,1013.85,13,3.5,3
40,66,8,5,1019.82,5,5.5,2
20,24,3,6,1013.68,9,6.5,2
-7,61,2.5,99,994.34,1,2.5,4
-3,82,0,65,991.66,0,1.5,4
22,65,6,14,1010.17,8,7,2
33,79,4.5,43,1007.94,1,7,3
29,47,8.5,2,1027.33,11,5.5,2
13,80,15.5,59,1012.06,0,3.5,1
27,39,5,16,1021.61,5,5,2
38,75,0.5,79,1057.69,0,10,1
20,48,9.5,6,1015.16,6,8.5,2
19,82,7,85,1008.5,1,3.5,1
18,70,5,94,1012.87,2,3.5,1
18,60,12.5,42,822.66,2,17.5,1
2,80,13.5,79,995.74,1,1.5,4
1,81,9.5,63,983.99,1,3.5,4
22,69,1,19,1011.5,2,6,3
-10,70,2.5,56,989.29,1,4,4
32,61,5.5,53,995.09,2,4,1
41,29,8,17,1011.53,11,10,2
-1,99,2.5,72,998.51,0,2,4
31,65,1.5,18,1008.47,2,9,3
19,62,1,14,1016.5,2,5.5,3
-3,92,28,99,987.7,1,4.5,4
-1,83,18,73,983.46,0,1.5,4
3,70,2,81,984.9,1,2,4
0,64,4.5,52,984.59,1,1,4
26,76,9,68,1004.27,3,3.5,1
22,92,19.5,81,1017.76,0,4.5,1
20,96,14,94,997.77,0,4.5,1
23,52,1,36,1017.92,1,8.5,3
3,81,2.5,89,992.78,1,2,4
20,95,16,91,1016.14,0,2.5,1
-2,91,2.5,83,982.21,1,4,4
29,77,0.5,91,934.49,14,17,2
2,77,6.5,75,998,0,3,4
16,67,6.5,45,1008.69,2,5.5,3
46,94,4,90,1022.88,10,12.5,2
-2,92,1,71,998.01,1,1.5,4
20,50,6.5,21,1013.93,4,6,3
0,64,10.5,78,994.62,0,3,4
22,48,6,15,1020,5,9.5,2
29,50,5.5,13,1002.04,4,8,3
4,77,13,76,983.25,1,2.5,4
40,39,9.5,15,1029.84,8,8,2
-3,60,8,94,981.56,1,3,4
33,25,4,3,1027.6,11,6.5,2
31,87,11,54,995.87,0,3.5,1
41,72,2.5,26,973.08,6,8.5,1
33,77,1,22,1018.78,4,8.5,3
-5,68,0.5,96,992.19,1,1.5,4
-9,90,1.5,97,999.08,1,4.5,4
1,89,7.5,76,982.22,1,4.5,4
13,62,14,13,1003.74,1,9,3
13,75,9.5,40,1005.39,2,8,3
15,105,7.5,75,1006.45,10,4,3
31,86,13.5,78,999.25,3,4,1
26,60,11.5,50,995.67,3,3.5,1
44,25,1,6,1016.02,10,5.5,2
28,93,12.5,50,997.24,0,5,1
18,88,15.5,88,997.61,1,3.5,1
30,77,12,51,1007.88,0,3.5,1
24,50,3.5,10,1017.18,4,6.5,3
36,32,6,2,1026.15,7,7.5,2
3,75,10.5,73,980.47,1,3,4
35,49,9,14,1010.52,10,7,2
26,43,7,18,1024.37,5,6,2
16,59,11.5,37,1004.12,4,6.5,3
38,73,2.5,79,1034.1,3,13,1
34,51,9,40,1009.21,4,6,3
33,88,19,98,998.8,2,3,1
17,72,20,56,990.4,0,4,1
30,58,1,43,1018.95,2,6,3
17,69,2,35,1009.83,1,8.5,3
-5,94,9,63,989.82,0,5,4
17,64,19.5,95,1016.54,2,5,1
-13,60,9.5,18,931.79,7,5.5,3
34,88,19.5,73,1018.01,1,4,1
41,90,21.5,103,1002.15,13,4,1
13,77,5,68,1021.09,3,8.5,3
23,35,3.5,12,1028.43,7,8,2
16,96,19,57,1003.05,0,4.5,1
-7,70,8.5,62,993.19,1,2,4
3,90,9.5,87,997.83,0,2.5,4
39,54,0,3,1024.65,8,9.5,2
21,64,19,96,1006.43,0,4.5,1
38,69,6.5,19,1011.2,5,8,2
-6,81,19.5,66,995.18,0,1.5,4
10,80,16.5,99,1005.34,3,3.5,1
23,73,14.5,32,1002.91,4,7.5,3
38,21,0,14,960.81,2,6,4
15,97,12.5,62,1013.38,2,3,1
20,55,2,7,1029.67,9,9,2
26,82,18,54,998.36,1,3,1
23,60,19.5,62,1014.54,2,4.5,1
26,68,4,39,1016.39,4,5.5,3
10,99,16,58,995.85,2,1.5,1
20,42,4,13,1028.3,5,8,2
-2,32,1.5,17,930.32,1,11,1
-1,94,13,74,981.13,0,4,4
28,65,13.5,48,1013.19,4,5.5,3
-10,94,7.5,98,989.37,1,4,4
41,57,4,19,1025.59,10,6.5,2
34,78,14.5,13,1014.07,1,6,3
33,30,9.5,7,1019.11,11,5,2
28,56,8.5,12,1013.53,1,7.5,3
49,64,4,61,1130.72,14,0,3
28,77,4.5,68,1175.6,14,0,4
34,99,34,74,1016.03,9,1,1
-7,97,4.5,73,987.68,0,2,4
78,81,8,78,1010.19,1,4.5,3
25,24,9.5,91,834.02,13,3.5,4
31,100,15,90,1019.98,8,5,2
19,97,9,56,1015.74,3,2,1
34,97,17.5,76,1016.2,1,2.5,1
10,80,17,69,1012.7,3,1.5,1
28,76,0.5,16,1018.62,4,7.5,3
18,74,0.5,39,1007.53,1,8.5,3
32,63,3,46,1006.96,1,8.5,3
-7,82,7.5,57,985.06,0,2.5,4
22,61,8.5,13,1009.6,2,6.5,3
63,86,13,75,1027.31,14,2.5,2
23,78,15,60,991.36,2,4,1
27,83,16,53,1003.68,1,2.5,1
-9,67,13,92,981.36,0,2,4
-10,92,17,96,982.06,1,4.5,4
10,68,8,99,1014.01,3,1.5,1
35,33,7,5,1025.51,5,7.5,2
73,82,47,107,1002.73,0,0.5,1
22,89,12,85,1017.54,11,2,3
2,86,11.5,64,999.36,1,2.5,4
30,71,12,92,992.51,2,3,1
30,55,5,31,1004.15,2,6.5,3
14,68,11.5,11,1012.85,2,6.5,3
19,91,18.5,97,1011.14,0,4,1
34,71,4,35,1001.54,3,6.5,3
27,79,14,29,1008.79,1,7.5,3
8,78,34.5,106,982.66,11,3.5,4
-3,76,10,85,986.77,0,3.5,4
29,107,0.5,93,1002.18,8,10,3
27,54,7,11,1015.78,2,6,3
22,95,35.5,87,998.45,11,4,1
24,27,2,12,1015.66,7,6,2
33,69,8,5,1026.28,9,9.5,2
28,47,11.5,24,1105.69,9,1.5,2
32,59,0.5,18,1016.89,2,7,3
-10,72,2.5,96,988.45,0,2,4
28,108,7.5,83,1018.84,1,4,2
27,26,9,14,1018.24,5,7,2
-9,71,9.5,83,996.4,1,3.5,4
28,86,9.5,52,1005.41,3,3,1
-4,64,1,85,993.69,1,1.5,4
25,51,5,18,1019.65,7,7,2
12,92,20,51,1010.65,3,2,1
-12,22,6.5,71,1097.74,1,9,4
14,65,6.5,26,1019.03,1,6.5,3
2,71,11,66,984.83,0,3,4
43,24,7,1,1020.87,9,7,2
-10,84,5,75,990.82,0,4.5,4
1,52,13.5,18,829.86,14,6.5,3
25,86,11,75,1006.57,0,4,1
30,96,4.5,97,1001.66,1,5.5,3
44,94,9,109,1024.46,2,6.5,2
12,89,17.5,75,997.65,2,2,1
20,48,3,10,1019.81,10,9.5,2
32,71,19,92,1003.24,3,2.5,1
13,79,11,63,990.71,2,4.5,1
-24,84,23.5,80,984.68,0,1.5,4
22,46,5,1,1014.95,11,7,2
25,57,3.5,0,1016.85,10,8.5,2
-4,69,14.5,56,994.53,1,3,4
-10,72,4.5,72,1193.57,11,13,1
0,73,4,90,993.09,1,3,4
41,33,3.5,5,1021.88,6,8,2
35,50,7,3,1011.22,7,7.5,2
14,95,42.5,106,997.34,6,4,1
23,63,5,2,1028.61,9,9,2
34,31,9.5,9,1024.74,10,5.5,2
